City,ST,2024
Seattle,WA,"780,995"
Denver[h],CO,"729,019"
Oklahoma City,OK,"712,919"
Nashville[i],TN,"704,963"
Washington[j],DC,"702,250"
El Paso,TX,"681,723"
Las Vegas,NV,"678,922"
Boston,MA,"673,458"
Detroit,MI,"645,705"
Louisville[k],KY,"640,796"
Portland,OR,"635,749"
Memphis,TN,"610,919"
Baltimore[l],MD,"568,271"
Milwaukee,WI,"563,531"
Albuquerque,NM,"560,326"
Tucson,AZ,"554,013"
Fresno,CA,"550,105"
Sacramento,CA,"535,798"
Atlanta,GA,"520,070"
Mesa,AZ,"517,151"
Kansas City,MO,"516,032"
Raleigh,NC,"499,825"
