City,ST,2024,,,,,,
New York[c],NY,"8,478,072",,,,,,
Los Angeles,CA,"3,878,704",,,,,,
Chicago,IL,"2,721,308",,,,,,
Houston,TX,"2,390,125",,,,,,
Phoenix,AZ,"1,673,164",,,,,,
Philadelphia[d],PA,"1,573,916",,,,,,
San Antonio,TX,"1,526,656",,,,,,
San Diego,CA,"1,404,452",,,,,,
Dallas,TX,"1,326,087",,,,,,
Jacksonville[e],FL,"1,009,833",,,,,,
Fort Worth,TX,"1,008,106",,,,,,
San Jose,CA,"997,368",,,,,,
Austin,TX,"993,588",,,,,,
Charlotte,NC,"943,476",,,,,,
Columbus,OH,"933,263",,,,,,
Indianapolis[f],IN,"891,484",,,,,,
San Francisco[g],CA,"827,526",,,,,,
Seattle,WA,"780,995",,,,,,
Denver[h],CO,"729,019",,,,,,
Oklahoma City,OK,"712,919",,,,,,
Nashville[i],TN,"704,963",,,,,,
Washington[j],DC,"702,250",,,,,,
El Paso,TX,"681,723",,,,,,
Las Vegas,NV,"678,922",,,,,,
Boston,MA,"673,458",,,,,,
Detroit,MI,"645,705",,,,,,
Louisville[k],KY,"640,796",,,,,,
Portland,OR,"635,749",,,,,,
Memphis,TN,"610,919",,,,,,
Baltimore[l],MD,"568,271",,,,,,
Milwaukee,WI,"563,531",,,,,,
Albuquerque,NM,"560,326",,,,,,
Tucson,AZ,"554,013",,,,,,
Fresno,CA,"550,105",,,,,,
Sacramento,CA,"535,798",,,,,,
Atlanta,GA,"520,070",,,,,,
Mesa,AZ,"517,151",,,,,,
Kansas City,MO,"516,032",,,,,,
Raleigh,NC,"499,825",,,,,,
Colorado Springs,CO,"493,554",,,,,,
Omaha,NE,"489,265",,,,,,
Miami,FL,"487,014",,,,,,
Virginia Beach[l],VA,"454,808",,,,,,
Long Beach,CA,"450,901",,,,,,
Oakland,CA,"443,554",,,,,,
Minneapolis,MN,"428,579",,,,,,
Bakersfield,CA,"417,468",,,,,,
Tulsa,OK,"415,154",,,,,,
Tampa,FL,"414,547",,,,,,
Arlington,TX,"403,672",,,,,,
Aurora,CO,"403,130",,,,,,
Wichita,KS,"400,991",,,,,,
